species,year,Antibiotic_1,Antibiotic_2,Antibiotic_3,S1S2S3,S1S2R3,S1R2S3,R1S2S3,S1R2R3,R1S2R3,R1R2S3,R1R2R3,S1S2S3_observed,S1S2R3_observed,S1R2S3_observed,R1S2S3_observed,S1R2R3_observed,R1S2R3_observed,R1R2S3_observed,R1R2R3_observed,S1S2S3_predicted,S1S2R3R_predicted,S1R2S3_predicted,R1S2S3_predicted,S1R2R3_predicted,R1S2R3R_predicted,R1R2S3_predicted,R1R2R3_predicted
E. coli,2017/18,CEFAZOLIN,CEFUROXIME,SULFA_TRIMETHOPRIM,10079,1873,890,427,250,210,361,195,0.705565278,0.131116556,0.062303115,0.029891495,0.017500875,0.014700735,0.025271264,0.013650683,0.694186872,0.135985879,0.073980709,0.042954178,0.019411599,0.01371184,0.013847872,0.005921051
E. coli,2017/18,CEFAZOLIN,CEFUROXIME,TOBRAMYCIN,10885,441,1034,563,87,50,450,68,0.801664457,0.03247901,0.0761526,0.041464133,0.006407424,0.003682427,0.033141847,0.005008101,0.792327723,0.034536461,0.089747326,0.053738015,0.006104744,0.00379834,0.017785595,0.001961795
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,GENTAMICIN,30245,1031,3828,1818,589,138,825,266,0.780717605,0.02661332,0.098812597,0.04692824,0.015203924,0.00356221,0.021295818,0.006866288,0.7715079,0.032121652,0.110449289,0.053735661,0.010323614,0.004011528,0.015288152,0.002562204
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,LEVOFLOXACIN,18089,11,34,1429,2443,2,1,683,0.797153182,0.000484752,0.001498325,0.062973735,0.107659087,8.81E+09,4.41E+09,0.030098713,0.849277459,0.008065399,0.013304228,0.067078463,0.04626711,0.001198159,0.001963847,0.012845335
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,NITROFURANTOIN,29440,462,3968,1701,207,59,879,115,0.799326654,0.012543781,0.107735332,0.046183921,0.005620266,0.001601911,0.023865765,0.00312237,0.792323843,0.014502509,0.116802215,0.05341873,0.004260203,0.001794365,0.015838011,0.001060124
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,PIPERACILLIN_TAZOBACTAM,29135,186,4158,1583,69,341,760,233,0.798985328,0.005100782,0.114027149,0.04341149,0.001892225,0.009351433,0.020841903,0.006389689,0.79303901,0.009090694,0.120481143,0.053891141,0.002612895,0.003493784,0.015491278,0.001900055
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,SULFA_TRIMETHOPRIM,27615,3658,2629,1504,1785,452,448,640,0.712994759,0.094446309,0.067878444,0.038831943,0.046087114,0.011670238,0.011566962,0.016524231,0.69709728,0.111102958,0.085133463,0.04429078,0.032062101,0.012445646,0.010737888,0.007129883
E. coli,2017/18,CEFAZOLIN,CIPROFLOXACIN,TOBRAMYCIN,22225,516,2571,1416,462,68,437,153,0.798082448,0.018529158,0.092322608,0.050847458,0.01659006,0.002441827,0.01569233,0.005494111,0.790537393,0.024675987,0.102981648,0.05520539,0.009247772,0.002996494,0.012416424,0.001938892
E. coli,2017/18,CEFAZOLIN,GENTAMICIN,LEVOFLOXACIN,17557,2110,569,1327,345,517,104,171,0.773436123,0.092951542,0.025066079,0.05845815,0.015198238,0.02277533,0.004581498,0.00753304,0.763683433,0.10482652,0.031079781,0.065704271,0.01001544,0.016992256,0.00479005,0.00290825
E. coli,2017/18,CEFAZOLIN,GENTAMICIN,NITROFURANTOIN,31919,611,1491,2263,58,119,321,55,0.866492928,0.016586584,0.040475609,0.061432799,0.001574504,0.003230448,0.008714065,0.001493064,0.863456723,0.01785575,0.043381505,0.064979661,0.001532991,0.002464158,0.005944028,0.000385185
E. coli,2017/18,CEFAZOLIN,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,31752,220,1544,2061,35,483,284,93,0.870585655,0.006032025,0.042333845,0.056509103,0.00095964,0.013243036,0.007786795,0.002549901,0.867095456,0.010941498,0.044804261,0.064910649,0.001037553,0.00463865,0.005809976,0.000761958
E. coli,2017/18,CEFAZOLIN,GENTAMICIN,SULFA_TRIMETHOPRIM,29715,4354,529,1810,1089,835,143,260,0.767135665,0.112404802,0.013656899,0.046727766,0.028114109,0.021556732,0.003691752,0.006712276,0.755466208,0.130025605,0.024037079,0.053490874,0.014447829,0.016249871,0.003048432,0.003234102
E. coli,2017/18,CEFAZOLIN,GENTAMICIN,TOBRAMYCIN,24508,109,289,1823,869,51,33,171,0.879905217,0.003913403,0.010375902,0.065450759,0.031199512,0.001831042,0.001184792,0.006139375,0.88494715,0.013699777,0.02122503,0.066799618,0.007575423,0.001800893,0.002437241,0.001514868
E. coli,2017/18,CEFAZOLIN,LEVOFLOXACIN,NITROFURANTOIN,16885,294,2154,1219,137,38,527,84,0.791311276,0.013778236,0.100946668,0.057128128,0.006420471,0.00178086,0.024697722,0.003936639,0.784023739,0.01597451,0.110180301,0.064224091,0.004759576,0.002298992,0.017231063,0.001307729
E. coli,2017/18,CEFAZOLIN,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,17425,87,2337,1183,42,234,511,151,0.793126991,0.003959945,0.106372326,0.053846154,0.001911698,0.010650888,0.02325899,0.006873009,0.78655235,0.008346602,0.11341673,0.065506733,0.002385422,0.004101685,0.017516614,0.002173865
E. coli,2017/18,CEFAZOLIN,LEVOFLOXACIN,SULFA_TRIMETHOPRIM,16087,2035,1496,1098,957,333,281,406,0.708897017,0.08967523,0.065923413,0.048384965,0.042171595,0.014674129,0.012382673,0.01789098,0.692984908,0.106114361,0.081985761,0.054535108,0.029619448,0.014819459,0.012150766,0.007790189
E. coli,2017/18,CEFAZOLIN,LEVOFLOXACIN,TOBRAMYCIN,12136,261,1309,962,248,43,261,57,0.794396806,0.017084506,0.085684362,0.062970478,0.016233554,0.002814689,0.017084506,0.003731099,0.786591939,0.023316442,0.096512337,0.067547153,0.00827678,0.002942579,0.01315482,0.001657951
E. coli,2017/18,CEFAZOLIN,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,31229,225,614,1979,24,500,133,27,0.89916789,0.006478362,0.017678731,0.056980795,0.000691025,0.014396361,0.003829432,0.000777403,0.89632149,0.011711274,0.019145872,0.064804341,0.000442377,0.004783107,0.002469248,0.000322291
E. coli,2017/18,CEFAZOLIN,NITROFURANTOIN,SULFA_TRIMETHOPRIM,28458,4954,425,1675,237,908,80,92,0.772706291,0.134513563,0.011539819,0.045480464,0.006435146,0.024654484,0.002172201,0.002498031,0.765413652,0.143120647,0.013947567,0.052459552,0.004772601,0.01746577,0.001752472,0.001067738
E. coli,2017/18,CEFAZOLIN,NITROFURANTOIN,TOBRAMYCIN,23064,899,377,1535,27,189,66,15,0.881247134,0.034349687,0.014404707,0.058650466,0.001031637,0.007221458,0.002521779,0.000573132,0.878800899,0.036733612,0.015312769,0.061602187,0.000937117,0.004624569,0.001791897,0.00019695
E. coli,2017/18,CEFAZOLIN,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,28127,5166,128,1572,126,772,324,251,0.771321231,0.14166621,0.003510119,0.043108649,0.003455273,0.021170405,0.008884989,0.006883124,0.765183938,0.148073482,0.008245264,0.052594423,0.003258879,0.017274581,0.00321361,0.002155824
E. coli,2017/18,CEFAZOLIN,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,22595,917,128,1479,35,172,340,44,0.878840918,0.035667056,0.004978608,0.057526254,0.001361338,0.006690004,0.013224426,0.001711396,0.875393479,0.038109106,0.010162513,0.06563199,0.000854629,0.004810231,0.004413229,0.000624824
E. coli,2017/18,CEFAZOLIN,SULFA_TRIMETHOPRIM,TOBRAMYCIN,21506,360,3290,1331,616,82,524,140,0.772235987,0.012926856,0.118137096,0.047793458,0.022119286,0.00294445,0.018815756,0.00502711,0.762814124,0.021054476,0.131756179,0.053037895,0.011637927,0.002552598,0.014858332,0.00228847
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,CEFTRIAXONE,33475,303,19,2,510,7,1,237,0.968773514,0.008768883,0.000549864,5.79E+08,0.014759507,0.000202581,2.89E+08,0.00685883,0.978146461,0.014664702,0.002991965,0.000151107,0.00284881,0.000131138,1.90E+09,0.001046824
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,CEFUROXIME,10123,1384,5,1,118,1,0,96,0.863148022,0.118008186,0.00042633,8.53E+09,0.010061392,8.53E+09,0,0.008185539,0.867715892,0.123594598,0.001993692,0.000113671,0.005022882,0.00041408,1.75E+08,0.001127683
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,CIPROFLOXACIN,29983,3846,266,3,266,6,41,196,0.866385413,0.111133586,0.007686306,8.67E+09,0.007686306,0.000173375,0.001184731,0.005663594,0.867418534,0.114626125,0.011006516,0.000539605,0.004978204,0.00041439,0.000280181,0.000736445
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,GENTAMICIN,32328,1510,418,6,114,3,168,70,0.933876419,0.043620187,0.012074992,0.000173325,0.00329318,8.67E+09,0.004853107,0.002022128,0.934897026,0.045036788,0.015781066,0.00111142,0.001969293,0.000155724,0.000769422,0.000279262
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,LEVOFLOXACIN,23933,2858,212,3,244,5,40,194,0.870639165,0.10396886,0.007712176,0.000109135,0.008876278,0.000181891,0.001455128,0.007057368,0.872220362,0.108123078,0.011675854,0.000636059,0.005517378,0.000473233,0.000352968,0.001001069
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,NITROFURANTOIN,31716,605,463,7,41,1,179,32,0.959811161,0.018308921,0.014011621,0.000211839,0.00124077,3.03E+09,0.00541702,0.000968406,0.961113355,0.018821481,0.017073709,0.001149602,0.00081574,6.69E+09,0.000839893,0.000119294
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,PIPERACILLIN_TAZOBACTAM,33057,686,466,6,62,3,205,32,0.957702002,0.019874265,0.013500594,0.000173827,0.001796216,8.69E+09,0.005939102,0.000927079,0.958916645,0.020677532,0.017088192,0.001242453,0.000955384,7.30E+08,0.000908287,0.000138458
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,SULFA_TRIMETHOPRIM,28319,5516,322,3,210,6,96,142,0.81813717,0.159357485,0.009302594,8.67E+09,0.006066909,0.00017334,0.002773444,0.004102386,0.818555806,0.161609214,0.012469447,0.000784892,0.00511637,0.00042375,0.000490347,0.000550174
E. coli,2017/18,CEFEPIME,CEFTAZIDIME,TOBRAMYCIN,32496,1276,392,4,139,5,145,92,0.940577151,0.036933052,0.011346204,0.000115778,0.004023271,0.000144722,0.004196938,0.002662885,0.941730769,0.038781012,0.015178928,0.00103477,0.002064997,0.000165756,0.000682562,0.000361205
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,CEFUROXIME,10168,1373,20,1,146,1,0,100,0.861038191,0.116267254,0.001693624,8.47E+09,0.012363452,8.47E+09,0,0.008468118,0.864639928,0.122722431,0.004598789,0.000112768,0.00622774,0.000416581,3.54E+09,0.001246402
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,CIPROFLOXACIN,34759,4464,476,1,541,2,61,357,0.854848626,0.10978579,0.011706549,2.46E+09,0.013305133,4.92E+09,0.001500209,0.008779912,0.856341468,0.115686146,0.017138954,0.000314156,0.008353149,0.000270967,0.000460915,0.001434244
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,GENTAMICIN,37513,1724,824,2,195,1,302,117,0.922193815,0.042381631,0.02025665,4.92E+09,0.004793746,2.46E+09,0.00742416,0.002876248,0.924058279,0.044332259,0.025799143,0.000719515,0.003038378,9.61E+09,0.00147317,0.000483131
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,LEVOFLOXACIN,23846,2721,339,1,415,1,42,204,0.864957017,0.098697813,0.01229642,3.63E+09,0.015053139,3.63E+09,0.00152345,0.007399616,0.865574414,0.105304414,0.018431659,0.000316672,0.008459842,0.000233603,0.000443923,0.001235472
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,NITROFURANTOIN,36430,731,874,2,80,0,323,50,0.946479605,0.018991946,0.022707197,5.20E+09,0.002078462,0,0.00839179,0.001299039,0.948787722,0.019816136,0.027555298,0.000649687,0.001338944,3.61E+09,0.001608234,0.000207882
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,PIPERACILLIN_TAZOBACTAM,38231,889,925,2,89,1,290,47,0.944581707,0.021964718,0.022854178,4.94E+09,0.002198943,2.47E+09,0.007165094,0.001161239,0.946291941,0.022817666,0.027158992,0.000715614,0.001436036,4.43E+09,0.001352078,0.000183406
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,SULFA_TRIMETHOPRIM,32839,6393,563,1,456,2,170,249,0.807390652,0.157180439,0.013842107,2.46E+09,0.011211369,4.92E+09,0.004179677,0.006121997,0.807773181,0.161411873,0.019449423,0.000505407,0.008637273,0.000270209,0.000892357,0.001060278
E. coli,2017/18,CEFEPIME,CEFTRIAXONE,TOBRAMYCIN,35233,1313,711,1,255,2,184,124,0.931523147,0.034714327,0.018798086,2.64E+09,0.00674193,5.29E+08,0.004864765,0.003278428,0.932704802,0.037634482,0.024168149,0.000606258,0.003284818,9.67E+09,0.000979045,0.000525788
E. coli,2017/18,CEFEPIME,CEFUROXIME,CIPROFLOXACIN,9846,1433,1106,1,468,1,18,83,0.759956777,0.110605125,0.085365854,7.72E+09,0.03612226,7.72E+09,0.001389318,0.006406298,0.753972772,0.119873341,0.095159886,0.000418182,0.027758174,0.000335545,0.00100402,0.00147808
E. coli,2017/18,CEFEPIME,CEFUROXIME,GENTAMICIN,10734,545,1452,2,122,0,72,29,0.82849645,0.042065452,0.112071627,0.000154369,0.009416487,0,0.005557271,0.002238345,0.827586111,0.043623703,0.116480035,0.000858773,0.008577877,0.000121126,0.002299297,0.000453079
E. coli,2017/18,CEFEPIME,CEFUROXIME,LEVOFLOXACIN,4419,693,341,1,162,0,16,79,0.773769918,0.121344773,0.059709333,0.000175101,0.028366311,0,0.002801611,0.013832954,0.771620866,0.129490834,0.068788447,0.000644955,0.023953529,0.000550521,0.001786546,0.003164301
E. coli,2017/18,CEFEPIME,CEFUROXIME,NITROFURANTOIN,10010,115,1425,2,48,0,76,10,0.856580524,0.009840835,0.121940784,0.000171145,0.004107479,0,0.006503508,0.000855725,0.855940273,0.010952359,0.126408781,0.000993551,0.00296672,3.81E+09,0.002522634,0.000177554
E. coli,2017/18,CEFEPIME,CEFUROXIME,PIPERACILLIN_TAZOBACTAM,11095,173,1475,1,97,1,86,14,0.857286355,0.013367331,0.11397002,7.73E+09,0.007494978,7.73E+09,0.006645032,0.001081749,0.855905227,0.015708377,0.119907613,0.000948657,0.004686202,4.93E+09,0.002516011,0.000278586
E. coli,2017/18,CEFEPIME,CEFUROXIME,SULFA_TRIMETHOPRIM,9301,1978,1194,1,380,1,41,60,0.717891324,0.152670577,0.092158073,7.72E+09,0.02933004,7.72E+09,0.003164557,0.004631059,0.715142918,0.156353732,0.09734311,0.000602429,0.02754094,0.000334874,0.001559901,0.001122096
E. coli,2017/18,CEFEPIME,CEFUROXIME,TOBRAMYCIN,10748,464,1440,1,128,1,69,32,0.83427773,0.036016456,0.111775208,7.76E+09,0.009935574,7.76E+09,0.005355895,0.002483894,0.833009602,0.038184498,0.11671914,0.000843153,0.008376297,0.000120408,0.00224498,0.000501922
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,GENTAMICIN,34949,1220,4477,53,751,11,254,107,0.835660657,0.02917125,0.107048922,0.001267276,0.017957056,0.000263019,0.006073359,0.002558462,0.831078762,0.03484791,0.116164056,0.003084905,0.011060911,0.000358671,0.002693614,0.000711172
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,LEVOFLOXACIN,25062,13,21,42,3330,0,3,206,0.873940789,0.000453325,0.000732294,0.001464588,0.116120933,0,0.000104613,0.007183457,0.930456736,0.007729917,0.010517126,0.001612935,0.046604306,7.85E+09,0.00011125,0.002889199
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,NITROFURANTOIN,33810,590,4583,50,239,10,278,40,0.853787879,0.01489899,0.115732323,0.001262626,0.006035354,0.000252525,0.007020202,0.001010101,0.851675953,0.016659339,0.120817015,0.003287621,0.004253228,0.000170868,0.002867735,0.000268242
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,PIPERACILLIN_TAZOBACTAM,35385,687,4899,41,304,10,252,40,0.850233072,0.016507281,0.117713489,0.000985151,0.007304532,0.000240281,0.006055072,0.000961123,0.847946125,0.018654951,0.122798985,0.002719166,0.004977357,0.000157559,0.002481,0.000264857
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,SULFA_TRIMETHOPRIM,31464,4700,2870,34,2358,30,139,222,0.752421264,0.112394481,0.068632374,0.000813066,0.05638855,0.000717412,0.003324007,0.005308846,0.739876492,0.129995086,0.086947759,0.002209387,0.036503607,0.001033328,0.001621829,0.001812513
E. coli,2017/18,CEFEPIME,CIPROFLOXACIN,TOBRAMYCIN,33080,794,3957,42,829,9,147,116,0.848770976,0.020372556,0.101529225,0.001077642,0.021270591,0.000230923,0.003771745,0.002976343,0.844309384,0.027519622,0.111712076,0.002340273,0.011221572,0.00029634,0.001870702,0.00073003
E. coli,2017/18,CEFEPIME,GENTAMICIN,LEVOFLOXACIN,24304,2835,783,36,512,143,9,64,0.847242557,0.098828697,0.027295545,0.001254968,0.017848428,0.00498501,0.000313742,0.002231053,0.842756526,0.107673214,0.033207975,0.002898769,0.010344143,0.002174676,0.000333926,0.000610771
E. coli,2017/18,CEFEPIME,GENTAMICIN,NITROFURANTOIN,36621,756,1787,236,73,42,93,8,0.924399233,0.019083199,0.045108037,0.005957189,0.00184269,0.001060178,0.002347536,0.000201939,0.923233118,0.019958102,0.046514093,0.007369171,0.001418452,0.000422715,0.001003173,8.12E+09
E. coli,2017/18,CEFEPIME,GENTAMICIN,PIPERACILLIN_TAZOBACTAM,38448,878,1852,203,114,39,90,12,0.923431646,0.02108752,0.044480738,0.004875588,0.002738015,0.000936689,0.002161591,0.000288212,0.922098519,0.022283579,0.046213987,0.006167745,0.001846875,0.000396353,0.000897559,9.54E+09
E. coli,2017/18,CEFEPIME,GENTAMICIN,SULFA_TRIMETHOPRIM,33705,5730,640,120,1333,188,53,65,0.805684372,0.136969929,0.015298561,0.00286848,0.031864034,0.004493952,0.001266912,0.00155376,0.797908062,0.151350644,0.025546016,0.005004706,0.016454057,0.002531538,0.000443396,0.000761581
E. coli,2017/18,CEFEPIME,GENTAMICIN,TOBRAMYCIN,36591,233,455,181,1391,44,8,82,0.938591766,0.005976658,0.011671156,0.004642811,0.03568039,0.001128639,0.000205207,0.002103373,0.943725402,0.017149413,0.0237098,0.005269042,0.00885444,0.000373394,0.000373933,0.000544576
E. coli,2017/18,CEFEPIME,LEVOFLOXACIN,NITROFURANTOIN,23500,416,2915,33,162,6,156,29,0.863430944,0.015284565,0.107102179,0.001212477,0.005952162,0.00022045,0.005731712,0.001065511,0.861510299,0.017065408,0.111630073,0.002942755,0.004118097,0.00016958,0.002315309,0.000248478
E. coli,2017/18,CEFEPIME,LEVOFLOXACIN,PIPERACILLIN_TAZOBACTAM,24550,456,3145,36,184,9,178,28,0.858812006,0.015951865,0.11001889,0.001259358,0.006436717,0.000314839,0.006226824,0.0009795,0.856619621,0.017908527,0.114906351,0.00319432,0.004412006,0.000182665,0.002512621,0.00026389
E. coli,2017/18,CEFEPIME,LEVOFLOXACIN,SULFA_TRIMETHOPRIM,21908,3176,1849,22,1498,23,79,128,0.763797371,0.110727609,0.064463271,0.000767005,0.052226057,0.000801869,0.002754245,0.004462574,0.752096995,0.127411965,0.081458707,0.002077048,0.033181256,0.000969979,0.001320869,0.001483181
E. coli,2017/18,CEFEPIME,LEVOFLOXACIN,TOBRAMYCIN,24453,544,2717,35,580,10,117,87,0.856707424,0.019058964,0.095189714,0.00122622,0.020320219,0.000350349,0.004099079,0.003048033,0.852459101,0.026078951,0.105320362,0.002705284,0.010392348,0.000325054,0.001959498,0.000759402
E. coli,2017/18,CEFEPIME,NITROFURANTOIN,PIPERACILLIN_TAZOBACTAM,37463,838,761,233,55,31,35,8,0.950258726,0.021256088,0.019302963,0.005910106,0.001395089,0.000786323,0.000887784,0.000202922,0.949545532,0.02203615,0.020140243,0.006601035,0.000866036,0.000382331,0.000387127,4.15E+09
E. coli,2017/18,CEFEPIME,NITROFURANTOIN,SULFA_TRIMETHOPRIM,32089,6317,522,131,304,198,17,33,0.810103254,0.159475903,0.013178158,0.003307162,0.007674636,0.004998611,0.000429174,0.000833102,0.807294571,0.163570963,0.015312783,0.005033606,0.00545575,0.002827801,0.000253804,0.000250723
E. coli,2017/18,CEFEPIME,NITROFURANTOIN,TOBRAMYCIN,34553,1465,676,139,63,100,34,6,0.932957123,0.039556108,0.018252511,0.003753105,0.001701048,0.002700076,0.000918026,0.000162005,0.931854549,0.041219446,0.019095237,0.00531937,0.001239744,0.000884367,0.000311319,7.60E+09
E. coli,2017/18,CEFEPIME,PIPERACILLIN_TAZOBACTAM,SULFA_TRIMETHOPRIM,33715,6581,535,117,456,176,22,29,0.809853234,0.158079316,0.012851,0.002810406,0.010953376,0.004227619,0.000528452,0.000696596,0.80631872,0.163336541,0.016224688,0.004380127,0.006862512,0.00237722,0.000234478,0.000265714
E. coli,2017/18,CEFEPIME,PIPERACILLIN_TAZOBACTAM,TOBRAMYCIN,36200,1500,749,165,117,99,22,27,0.931093907,0.038581239,0.019264899,0.004243936,0.003009337,0.002546362,0.000565858,0.000694462,0.929874128,0.040790616,0.020520967,0.00553573,0.001855263,0.000952844,0.000347261,0.00012319
E. coli,2017/18,CEFEPIME,SULFA_TRIMETHOPRIM,TOBRAMYCIN,31548,565,5494,81,1059,47,108,79,0.80931736,0.014494241,0.140940458,0.002077935,0.027167081,0.001205716,0.002770581,0.002026628,0.802994338,0.023387902,0.152658485,0.003621268,0.01440676,0.00041129,0.001842067,0.00067789
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,CEFUROXIME,10816,1393,16,3,20,9,2,243,0.865141577,0.111422172,0.001279795,0.000239962,0.001599744,0.000719885,0.000159974,0.01943689,0.876288471,0.113931627,0.00194089,0.00059024,0.002679535,0.001508426,0.000108784,0.002952027
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,CIPROFLOXACIN,35828,4716,144,20,170,7,398,723,0.852925773,0.112269676,0.003428082,0.000476122,0.004047041,0.000166643,0.009474837,0.017211827,0.862237972,0.115344819,0.009330305,0.002398565,0.004413838,0.001150539,0.001900377,0.003223584
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,GENTAMICIN,38710,1843,258,22,56,5,835,287,0.921315689,0.043864242,0.006140518,0.00052361,0.001332826,0.000119002,0.019873382,0.006830731,0.930541827,0.044870442,0.013755119,0.003560759,0.001701021,0.000454004,0.003855958,0.00126087
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,LEVOFLOXACIN,29806,3721,124,15,169,3,349,701,0.854333868,0.106655584,0.003554231,0.000429947,0.004844072,8.60E+09,0.01000344,0.020092869,0.865176493,0.110222406,0.010186163,0.002210757,0.004980365,0.001086476,0.002126517,0.004010823
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,NITROFURANTOIN,38203,801,286,24,24,1,942,123,0.945525196,0.01982477,0.007078507,0.000594001,0.000594001,2.48E+09,0.023314523,0.003044253,0.954666049,0.02024474,0.015254284,0.003829016,0.000772698,0.000198706,0.004479258,0.000555249
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,PIPERACILLIN_TAZOBACTAM,39472,855,306,22,6,3,966,131,0.945188094,0.020473648,0.007327411,0.000526807,0.000143675,7.18E+09,0.02313163,0.003136898,0.954564393,0.02069967,0.015068241,0.003745711,0.000727544,0.000203323,0.004452927,0.000538191
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,SULFA_TRIMETHOPRIM,34047,6497,152,19,162,8,549,571,0.810546364,0.154672063,0.003618617,0.000452327,0.003856684,0.000190454,0.013069873,0.01359362,0.818208623,0.157770185,0.010329137,0.002721135,0.004660739,0.001200545,0.00251406,0.002595576
E. coli,2017/18,CEFTAZIDIME,CEFTRIAXONE,TOBRAMYCIN,32645,1220,235,19,76,2,529,237,0.933701341,0.034894031,0.006721391,0.000543432,0.002173727,5.72E+09,0.015130281,0.006778595,0.940938127,0.036132548,0.013790427,0.003024959,0.001752426,0.000386393,0.002794064,0.001181056
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,CIPROFLOXACIN,9522,1346,1002,3,425,2,112,143,0.758422939,0.107208284,0.079808841,0.000238949,0.033851055,0.000159299,0.008920749,0.011389885,0.753238841,0.116242254,0.093342619,0.00168889,0.027342009,0.000713426,0.00412474,0.003307221
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,GENTAMICIN,10330,538,1323,3,104,2,204,51,0.822779769,0.042851454,0.105376344,0.000238949,0.008283552,0.000159299,0.016248507,0.004062127,0.822588275,0.044138221,0.114584531,0.002351576,0.008568819,0.000272017,0.006455805,0.001040757
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,LEVOFLOXACIN,4190,626,294,1,146,0,59,120,0.770787344,0.115158205,0.054083885,0.000183959,0.026857984,0,0.010853569,0.022075055,0.77120151,0.123672191,0.067651821,0.001285486,0.024367378,0.000702604,0.004991401,0.006127608
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,NITROFURANTOIN,9673,118,1315,5,43,0,207,21,0.849850641,0.010367247,0.115533298,0.00043929,0.003777895,0,0.01818661,0.001845018,0.849676752,0.011356789,0.125488698,0.002667066,0.003114877,9.27E+09,0.007142179,0.000460951
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,PIPERACILLIN_TAZOBACTAM,10602,164,1340,5,79,0,209,26,0.853279678,0.013199195,0.107847082,0.000402414,0.006358149,0,0.016820926,0.002092555,0.852601319,0.01512294,0.118287658,0.002459644,0.004393119,0.000106605,0.006443926,0.000584789
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,SULFA_TRIMETHOPRIM,8979,1889,1084,5,343,0,136,119,0.715173238,0.150457985,0.086340104,0.000398248,0.027319793,0,0.010832338,0.009478295,0.713137649,0.154006067,0.095226008,0.001810629,0.027598153,0.000762736,0.004764963,0.002693795
E. coli,2017/18,CEFTAZIDIME,CEFUROXIME,TOBRAMYCIN,9797,421,1286,3,106,2,183,50,0.826890614,0.035533423,0.108541526,0.000253207,0.008946658,0.000168805,0.015445645,0.004220122,0.826160542,0.037428139,0.118058967,0.002367524,0.008389325,0.000260074,0.006257273,0.001078156
E. coli,2017/18,CEFTAZIDIME,CIPROFLOXACIN,GENTAMICIN,34808,1209,4209,363,693,57,496,235,0.827382933,0.028737818,0.10004754,0.008628476,0.016472546,0.001354885,0.011789874,0.005585928,0.821299496,0.034403638,0.110820957,0.013159582,0.010866618,0.001455665,0.006349852,0.001644192
E. coli,2017/18,CEFTAZIDIME,CIPROFLOXACIN,LEVOFLOXACIN,29946,15,26,362,3887,0,4,704,0.856971154,0.000429258,0.000744048,0.010359432,0.111235119,0,0.000114469,0.02014652,0.915438662,0.007348218,0.010408497,0.011119572,0.046458673,0.000343084,0.000489252,0.008394043
E. coli,2017/18,CEFTAZIDIME,CIPROFLOXACIN,NITROFURANTOIN,34142,596,4395,376,232,26,592,98,0.843908347,0.01473169,0.108633858,0.009293818,0.005734484,0.000642658,0.01463282,0.002422325,0.839793256,0.01652422,0.116497498,0.014317979,0.004392685,0.000687903,0.00713001,0.000656448
